SampleID	marker	SRA_accession	BioSample_accession	BioProject_accession
F468	12S	SRR6285313	SAMN08011998	PRJNA417951
F469	12S	SRR6285540	SAMN08011999	PRJNA417951
F47	12S	SRR6285985	SAMN08012000	PRJNA417951
F470	12S	SRR6285538	SAMN08012001	PRJNA417951
F471	12S	SRR6285539	SAMN08012002	PRJNA417951
F472	12S	SRR6285552	SAMN08012003	PRJNA417951
F473	12S	SRR6285554	SAMN08012004	PRJNA417951
F474	12S	SRR6286006	SAMN08012005	PRJNA417951
F475	12S	SRR6285551	SAMN08012006	PRJNA417951
F476	12S	SRR6285647	SAMN08012007	PRJNA417951
F477	12S	SRR6285648	SAMN08012008	PRJNA417951
F478	12S	SRR6285711	SAMN08012009	PRJNA417951
F479	12S	SRR6285710	SAMN08012010	PRJNA417951
F48	12S	SRR6285708	SAMN08012011	PRJNA417951
F480	12S	SRR6285707	SAMN08012012	PRJNA417951
F481	12S	SRR6285706	SAMN08012013	PRJNA417951
F482	12S	SRR6285705	SAMN08012014	PRJNA417951
F483	12S	SRR6285704	SAMN08012015	PRJNA417952
F484	12S	SRR6285703	SAMN08012016	PRJNA417953
F485	12S	SRR6285502	SAMN08012017	PRJNA417954
F486	12S	SRR6285501	SAMN08012018	PRJNA417955
F487	12S	SRR6285266	SAMN08012019	PRJNA417956
F488	12S	SRR6285267	SAMN08012020	PRJNA417957
F489	12S	SRR6285268	SAMN08012021	PRJNA417958
F49	12S	SRR6285269	SAMN08012022	PRJNA417959
F490	12S	SRR6285270	SAMN08012023	PRJNA417960
F491	12S	SRR6285271	SAMN08012024	PRJNA417961
F492	12S	SRR6285272	SAMN08012025	PRJNA417962
F493	12S	SRR6285273	SAMN08012026	PRJNA417963
F494	12S	SRR6285702	SAMN08012027	PRJNA417964
F495	12S	SRR6285275	SAMN08012028	PRJNA417965
F496	12S	SRR6285932	SAMN08012029	PRJNA417966
F497	12S	SRR6285931	SAMN08012030	PRJNA417967
F498	12S	SRR6285264	SAMN08012031	PRJNA417968
F499	12S	SRR6285262	SAMN08012032	PRJNA417969
F5	12S	SRR6285927	SAMN08012033	PRJNA417970
F50	12S	SRR6285926	SAMN08012034	PRJNA417971
F500	12S	SRR6285930	SAMN08012035	PRJNA417972
F501	12S	SRR6285929	SAMN08012036	PRJNA417973
F502	12S	SRR6285723	SAMN08012037	PRJNA417974
F503	12S	SRR6285722	SAMN08012038	PRJNA417975
F504	12S	SRR6285463	SAMN08012039	PRJNA417976
F505	12S	SRR6285465	SAMN08012040	PRJNA417977
F506	12S	SRR6285460	SAMN08012041	PRJNA417978
F507	12S	SRR6285461	SAMN08012042	PRJNA417979
F508	12S	SRR6285456	SAMN08012043	PRJNA417980
F51	12S	SRR6285459	SAMN08012044	PRJNA417981
F52	12S	SRR6285454	SAMN08012045	PRJNA417982
F53	12S	SRR6285455	SAMN08012046	PRJNA417983
F54	12S	SRR6285576	SAMN08012047	PRJNA417984
F55	12S	SRR6285577	SAMN08012048	PRJNA417985
F56	12S	SRR6285391	SAMN08012049	PRJNA417986
F57	12S	SRR6285390	SAMN08012050	PRJNA417987
F58	12S	SRR6285389	SAMN08012051	PRJNA417988
F59	12S	SRR6285388	SAMN08012052	PRJNA417989
F6	12S	SRR6285395	SAMN08012053	PRJNA417990
F60	12S	SRR6285394	SAMN08012054	PRJNA417991
F61	12S	SRR6285393	SAMN08012055	PRJNA417992
F62	12S	SRR6285392	SAMN08012056	PRJNA417993
F63	12S	SRR6285383	SAMN08012057	PRJNA417994
F64	12S	SRR6285382	SAMN08012058	PRJNA417995
F65	12S	SRR6285851	SAMN08012059	PRJNA417996
F66	12S	SRR6285852	SAMN08012060	PRJNA417997
F67	12S	SRR6285853	SAMN08012061	PRJNA417998
F68	12S	SRR6285854	SAMN08012062	PRJNA417999
F69	12S	SRR6285847	SAMN08012063	PRJNA418000
